year,unitid,instnm,carnegie,stabbr,addr,city,control,lat,lon,total
2016,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749048,-92.320046,170
2017,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749048,-92.320046,131
2018,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749048,-92.320046,132
2019,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749048,-92.320046,132
2020,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.749048,-92.320046,131
2021,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.750152,-92.322348,120
2022,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.750152,-92.322348,121
2023,106263,university of arkansas for medical sciences,52,ar,4301 w markham,little rock,1,34.750152,-92.322348,101
2002,106397,university of arkansas main campus,15,ar,administration bldg 422,fayetteville,1,36.07,-94.177,25
2003,106397,university of arkansas main campus,15,ar,administration bldg 422,fayetteville,1,36.07,-94.177,27
2004,106397,university of arkansas main campus,15,ar,administration bldg 422,fayetteville,1,36.07,-94.177,27
2005,106397,university of arkansas main campus,15,ar,administration bldg 422,fayetteville,1,36.07,-94.177,51
2006,106397,university of arkansas main campus,15,ar,administration bldg 425,fayetteville,1,35.945565,-94.091355,62
2007,106397,university of arkansas main campus,15,ar,administration bldg 425,fayetteville,1,35.945565,-94.091355,109
2008,106397,university of arkansas main campus,15,ar,administration bldg 425,fayetteville,1,35.945565,-94.091355,95
2009,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,35.945565,-94.091355,94
2010,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.0671,-94.17569,66
2011,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.06153,-94.178214,92
2012,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.06153,-94.178214,94
2013,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.06153,-94.178214,132
2014,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.06153,-94.178214,189
2015,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.06153,-94.178214,220
2016,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.070009,-94.176981,272
2017,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.070009,-94.176981,297
2018,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.070009,-94.176981,317
2019,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.070009,-94.176981,292
2020,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.070009,-94.176981,281
2021,106397,university of arkansas,15,ar,administration bldg 425,fayetteville,1,36.070009,-94.176981,292
2022,106397,university of arkansas,15,ar,"1125 w maple st, administration bldg 425",fayetteville,1,36.070009,-94.176981,269
2023,106397,university of arkansas,15,ar,"1125 w maple st, administration bldg 425",fayetteville,1,36.070009,-94.176981,291
2002,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4921,pine bluff,1,34.240779138282,-92.019711729148,13
2003,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.242226,-92.019089,7
2004,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.242226,-92.019089,6
2005,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.242226,-92.019089,8
2006,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.242226,-92.019089,19
2007,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.242226,-92.019089,15
2008,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.242226,-92.019089,7
2009,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.242226,-92.019089,24
2012,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.242192,-92.021263,5
2017,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.244031,-92.018683,12
2018,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.244031,-92.018683,13
2019,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.244031,-92.018683,12
2020,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.244031,-92.018683,20
2021,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.244031,-92.018683,18
2022,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.244031,-92.018683,18
2023,106412,university of arkansas at pine bluff,32,ar,1200 n university mail slot 4789,pine bluff,1,34.244031,-92.018683,22
2002,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,state university,1,35.842812,-90.680466,61
2003,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,state university,1,35.842812,-90.680466,70
2004,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,state university,1,35.842812,-90.680466,85
2005,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,state university,1,35.842812,-90.680466,87
2006,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,state university,1,35.842812,-90.680466,85
2007,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,state university,1,35.842812,-90.680466,91
2008,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,state university,1,35.842812,-90.680466,97
2009,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842812,-90.680466,103
2010,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842779,-90.680478,116
2011,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842779,-90.680478,102
2012,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842779,-90.680478,140
2013,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842779,-90.680478,100
2014,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842779,-90.680478,152
2015,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842779,-90.680478,146
2016,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842388,-90.679988,123
2017,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842388,-90.679988,161
2018,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842388,-90.679988,184
2019,106458,arkansas state university-main campus,21,ar,2105 e. aggie rd,jonesboro,1,35.842388,-90.679988,212
2020,106458,arkansas state university,21,ar,2105 e. aggie rd,jonesboro,1,35.842388,-90.679988,205
2021,106458,arkansas state university,21,ar,2105 e. aggie rd,jonesboro,1,35.842388,-90.679988,183
2022,106458,arkansas state university,21,ar,"2105 east, aggie rd",jonesboro,1,35.842388,-90.679988,200
2023,106458,arkansas state university,21,ar,"2105 east, aggie rd",jonesboro,1,35.842388,-90.679988,197
2002,106467,arkansas tech university,21,ar,administration bldg. #200,russellville,1,35.2781194,-93.1337228,25
2003,106467,arkansas tech university,21,ar,administration bldg. #200,russellville,1,35.2781194,-93.1337228,45
2004,106467,arkansas tech university,21,ar,administration bldg. #200,russellville,1,35.2781194,-93.1337228,44
2005,106467,arkansas tech university,21,ar,administration bldg. #200,russellville,1,35.2781194,-93.1337228,52
2006,106467,arkansas tech university,21,ar,administration bldg. #200,russellville,1,35.2781194,-93.1337228,39
2007,106467,arkansas tech university,21,ar,administration bldg 200; 1506 n boulder ave,russellville,1,35.293498175071,-93.13456906728,71
2008,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.293495,-93.13469,70
2009,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.293495,-93.13469,83
2010,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.293505,-93.134649,91
2011,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.295227,-93.13233,116
2012,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.295227,-93.13233,129
2013,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.295227,-93.13233,110
2014,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.295227,-93.13233,122
2015,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.295227,-93.13233,141
2016,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.293237,-93.13562,160
2017,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.293237,-93.13562,128
2018,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.293237,-93.13562,134
2019,106467,arkansas tech university,21,ar,administration bldg 200; 1509 n boulder ave,russellville,1,35.293237,-93.13562,116
2020,106467,arkansas tech university,21,ar,"administration bldg 200, 1509 n boulder ave",russellville,1,35.293237,-93.13562,129
2021,106467,arkansas tech university,21,ar,"administration bldg 200, 1509 n boulder ave",russellville,1,35.293237,-93.13562,122
2022,106467,arkansas tech university,21,ar,"administration bldg 200, 1509 n boulder ave",russellville,1,35.293237,-93.13562,106
2023,106467,arkansas tech university,21,ar,"administration bldg 200, 1509 n boulder ave",russellville,1,35.293237,-93.13562,80
2002,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590828,-91.800706,17
2003,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590828,-91.800706,31
2004,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590828,-91.800706,29
2005,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590828,-91.800706,31
2006,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590828,-91.800706,38
2007,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590828,-91.800706,39
2008,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590828,-91.800706,21
2009,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590828,-91.800706,28
2010,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.59223,-91.80068,27
2011,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.589788,-91.812971,31
2012,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.589788,-91.812971,33
2013,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.589788,-91.812971,15
2014,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.589788,-91.812971,13
2015,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.589788,-91.812971,25
2016,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590909,-91.811153,28
2017,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590909,-91.811153,22
2018,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590909,-91.811153,19
2019,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590909,-91.811153,20
2020,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590909,-91.811153,25
2021,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590909,-91.811153,20
2022,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590909,-91.811153,19
2023,106485,university of arkansas at monticello,32,ar,highway 425 south,monticello,1,33.590909,-91.811153,18
2002,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.079293,-92.454209,44
2003,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.079293,-92.454209,46
2004,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.079293,-92.454209,46
2005,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.079293,-92.454209,36
2006,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.079293,-92.454209,50
2007,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.079293,-92.454209,57
2008,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.079293,-92.454209,70
2009,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.079293,-92.454209,79
2010,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.079315,-92.454235,81
2011,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.078196,-92.45931,80
2012,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.078196,-92.45931,76
2013,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.078196,-92.45931,57
2014,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.078196,-92.45931,67
2015,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.078196,-92.45931,69
2016,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.077945,-92.457672,66
2017,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.077945,-92.457672,68
2018,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.077945,-92.457672,84
2019,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.077945,-92.457672,84
2020,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.077945,-92.457672,105
2021,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.077945,-92.457672,138
2022,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.077945,-92.457672,113
2023,106704,university of central arkansas,21,ar,201 donaghey ave,conway,1,35.077945,-92.457672,106
2002,107044,harding university,22,ar,900 e. center,searcy,2,35.24867371977,-91.726198244487,29
2003,107044,harding university,22,ar,900 e. center,searcy,2,35.24867371977,-91.726198244487,31
2004,107044,harding university,22,ar,900 e. center,searcy,2,35.24867371977,-91.726198244487,26
2005,107044,harding university,22,ar,900 e. center,searcy,2,35.24867371977,-91.726198244487,38
2006,107044,harding university,22,ar,900 e. center,searcy,2,35.24867371977,-91.726198244487,33
2007,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.249611,-91.728806,39
2008,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.249611,-91.728806,42
2009,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.249611,-91.728806,60
2010,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.249646,-91.728772,27
2011,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.249605,-91.729008,48
2012,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.249605,-91.729008,41
2013,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.249605,-91.729008,35
2014,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.249605,-91.729008,39
2015,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.249605,-91.729008,47
2016,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.247337,-91.726041,37
2017,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.247337,-91.726041,44
2018,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.247337,-91.726041,49
2019,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.247386,-91.726143,51
2020,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.247386,-91.726143,51
2021,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.247386,-91.726143,47
2022,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.247386,-91.726143,46
2023,107044,harding university,22,ar,915 e. market ave.,searcy,2,35.247386,-91.726143,48
2002,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.125557,-93.0598,25
2003,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.125557,-93.0598,17
2004,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.125557,-93.0598,20
2005,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.125557,-93.0598,21
2006,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.125557,-93.0598,23
2007,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.125557,-93.0598,28
2008,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.125557,-93.0598,24
2009,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.125557,-93.0598,42
2010,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.125583,-93.059794,50
2011,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.127792,-93.060313,22
2012,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.127792,-93.060313,20
2013,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.127792,-93.060313,21
2014,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.127792,-93.060313,17
2015,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.127792,-93.060313,17
2016,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.127792,-93.060313,16
2017,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.128155,-93.059703,24
2018,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.128155,-93.059703,27
2019,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.128155,-93.059703,25
2020,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.128155,-93.059703,39
2021,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.128155,-93.059703,58
2022,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.128155,-93.059703,64
2023,107071,henderson state university,21,ar,1100 henderson st,arkadelphia,1,34.128155,-93.059703,41
2018,107141,john brown university,32,ar,2000 w university st,siloam springs,2,36.189812,-94.560283,27
2019,107141,john brown university,32,ar,2000 w university st,siloam springs,2,36.189812,-94.560283,21
2020,107141,john brown university,32,ar,2000 w university st,siloam springs,2,36.189812,-94.560283,22
2021,107141,john brown university,32,ar,2000 w university st,siloam springs,2,36.189812,-94.560283,28
2022,107141,john brown university,32,ar,2000 w university st,siloam springs,2,36.189812,-94.560283,16
2023,107141,john brown university,32,ar,2000 w university st,siloam springs,2,36.189812,-94.560283,22
2002,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.288674,-93.235337,3
2003,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.288674,-93.235337,3
2004,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.288674,-93.235337,1
2005,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.288674,-93.235337,1
2007,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.288674,-93.235337,5
2008,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.288674,-93.235337,3
2009,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.288674,-93.235337,15
2010,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.288656,-93.2353,13
2011,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291195,-93.235087,10
2012,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291195,-93.235087,18
2013,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291195,-93.235087,35
2014,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291195,-93.235087,57
2015,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291195,-93.235087,34
2016,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291195,-93.235087,55
2017,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291618,-93.235922,58
2018,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291618,-93.235922,41
2019,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291618,-93.235922,44
2020,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291618,-93.235922,38
2021,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291618,-93.235922,30
2022,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291618,-93.235922,33
2023,107983,southern arkansas university main campus,21,ar,100 e. university,magnolia,1,33.291618,-93.235922,32
2002,108092,university of arkansas at ft smith,40,ar,5210 grand ave,ft smith,1,35.385323,-94.374253,0
2003,108092,university of arkansas at ft smith,40,ar,5210 grand ave,ft smith,1,35.385323,-94.374253,0
2004,108092,university of arkansas at ft smith,40,ar,5210 grand ave,ft smith,1,35.385323,-94.374253,0
2005,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385323,-94.374253,3
2006,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385323,-94.374253,1
2007,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385323,-94.374253,3
2008,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385323,-94.374253,6
2009,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385323,-94.374253,7
2010,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385306,-94.374213,23
2011,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385345,-94.374073,42
2012,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385345,-94.374073,61
2013,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385345,-94.374073,69
2014,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385345,-94.374073,75
2015,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.385345,-94.374073,64
2016,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.384184,-94.373729,79
2017,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.384184,-94.373729,73
2018,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.384184,-94.373729,82
2019,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.384184,-94.373729,86
2020,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.384184,-94.373729,113
2021,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.384184,-94.373729,111
2022,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.384184,-94.373729,69
2023,108092,university of arkansas-fort smith,40,ar,5210 grand ave,fort smith,1,35.384184,-94.373729,67
2007,126182,adams state college,21,co,208 edgemont blvd,alamosa,1,37.471627,-105.880723,5
2008,126182,adams state college,21,co,208 edgemont blvd,alamosa,1,37.471627,-105.880723,7
2009,126182,adams state college,21,co,208 edgemont blvd,alamosa,1,37.471627,-105.880723,3
2010,126182,adams state college,21,co,208 edgemont blvd,alamosa,1,37.471646,-105.880677,3
2011,126182,adams state college,21,co,208 edgemont blvd,alamosa,1,37.477238,-105.880943,5
2012,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.477238,-105.880943,18
2013,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.477238,-105.880943,23
2014,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.477238,-105.880943,18
2015,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.477238,-105.880943,24
2016,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.473636,-105.879642,30
2017,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.473636,-105.879642,28
2018,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.473636,-105.879642,22
2019,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.473636,-105.879642,24
2020,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.473636,-105.879642,12
2021,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.473636,-105.879642,14
2022,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.473636,-105.879642,14
2023,126182,adams state university,21,co,208 edgemont blvd,alamosa,1,37.473636,-105.879642,14
2002,126289,arapahoe community college,40,co,5900 s. santa fe dr.,littleton,1,39.608895,-105.021043,0
2003,126289,arapahoe community college,40,co,5900 s. santa fe dr.,littleton,1,39.608895,-105.021043,0
